kingdom,scientificName,class,order,family,genus,species,phylum,domain
,Staphylococcus aureus 08BA02176,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),saub,,
,Staphylococcus aureus M1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),saum,,
,Staphylococcus aureus CA-347,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sauc,,
,Staphylococcus aureus Bmb9393,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),saur,,
,Staphylococcus aureus USA300-ISMMS1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),saui,,
,Staphylococcus aureus 502A,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),saud,,
,Staphylococcus aureus NRS 100,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sauf,,
,Staphylococcus aureus MS4,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sams,,
,Staphylococcus argenteus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),suh,,
,Staphylococcus epidermidis ATCC 12228,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sep,,
,Staphylococcus epidermidis RP62A,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),ser,,
,Staphylococcus epidermidis PM221,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sepp,,
,Staphylococcus epidermidis SEI,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),seps,,
,Staphylococcus haemolyticus JCSC1435,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sha,,
,Staphylococcus haemolyticus Sh29/312/L2,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),shh,,
,Staphylococcus saprophyticus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),ssp,,
,Staphylococcus carnosus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sca,,
,Staphylococcus lugdunensis HKU09-01,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),slg,,
,Staphylococcus lugdunensis N920143,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sln,,
,Staphylococcus pseudintermedius HKU10-03,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),ssd,,
,Staphylococcus pseudintermedius ED99,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sdt,,
,Staphylococcus warneri,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),swa,,
,Staphylococcus pasteuri,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),spas,,
,Staphylococcus xylosus HKUOPL8,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sxy,,
,Staphylococcus xylosus SMQ-121,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sxl,,
,Staphylococcus xylosus C2a,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sxo,,
,Staphylococcus hyicus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),shu,,
,Staphylococcus capitis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),scap,,
,Staphylococcus schleiferi 1360-13,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),ssch,,
,Staphylococcus schleiferi 2317-03,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sscz,,
,Staphylococcus agnetis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),sagq,,
,Staphylococcus equorum,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),seqo,,
,Staphylococcus simulans,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),ssif,,
,Staphylococcus condimenti,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Staphylococcus (79),scv,,
,Macrococcus caseolyticus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Macrococcus (1),mcl,,
,Salinicoccus halodurans,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Salinicoccus (1),shv,,
,Staphylococcaceae bacterium S31,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Unclassified Staphylococcaceae (1),sbac,,
,Listeria monocytogenes EGD-e,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmo,,
,Listeria monocytogenes F2365,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmf,,
,Listeria monocytogenes HCC23,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmh,,
,Listeria monocytogenes CLIP 80459,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmc,,
,Listeria monocytogenes 08-5578,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmn,,
,Listeria monocytogenes 08-5923,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmy,,
,Listeria monocytogenes 10403S,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmt,,
,Listeria monocytogenes FSL R2-561,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmg,,
,Listeria monocytogenes Finland 1998,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lms,,
,Listeria monocytogenes J0161,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmj,,
,Listeria monocytogenes M7,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmq,,
,Listeria monocytogenes L99,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lml,,
,Listeria monocytogenes 07PF0776,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmp,,
,Listeria monocytogenes SLCC2755,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmw,,
,Listeria monocytogenes SLCC2372,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmx,,
,Listeria monocytogenes serotype 7 SLCC2482,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmz,,
,Listeria monocytogenes SLCC2376,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmon,,
,Listeria monocytogenes SLCC5850,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoc,,
,Listeria monocytogenes SLCC7179,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmos,,
,Listeria monocytogenes SLCC2378,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoo,,
,Listeria monocytogenes SLCC2479,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoy,,
,Listeria monocytogenes SLCC2540,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmot,,
,Listeria monocytogenes ATCC 19117,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoa,,
,Listeria monocytogenes L312,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmol,,
,Listeria monocytogenes serotype 4b LL195,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmog,,
,Listeria monocytogenes La111,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoe,,
,Listeria monocytogenes N53-1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmob,,
,Listeria monocytogenes J1-220,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoj,,
,Listeria monocytogenes J1816,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoz,,
,Listeria monocytogenes EGD,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmod,,
,Listeria monocytogenes WSLC1001,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmow,,
,Listeria monocytogenes WSLC1042,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmox,,
,Listeria monocytogenes 6179,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmoq,,
,Listeria monocytogenes R479a,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmr,,
,Listeria monocytogenes NE dc2014,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmok,,
,Listeria monocytogenes CFSAN006122,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmv,,
,Listeria monocytogenes Lm60,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lmom,,
,Listeria innocua,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lin,,
,Listeria welshimeri,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lwe,,
,Listeria seeligeri,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lsg,,
,Listeria ivanovii subsp. ivanovii PAM 55,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),liv,,
,Listeria ivanovii subsp. ivanovii WSLC 3010,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lii,,
,Listeria ivanovii WSLC3009,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),liw,,
,Listeria ivanovii subsp. londoniensis WSLC 30167,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lia,,
,Listeria ivanovii subsp. londoniensis WSLC 30151,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Listeria (45),lio,,
,Exiguobacterium sibiricum,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Exiguobacterium (5),esi,,
,Exiguobacterium sp. AT1b,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Exiguobacterium (5),eat,,
,Exiguobacterium antarcticum,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Exiguobacterium (5),ean,,
,Exiguobacterium sp. MH3,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Exiguobacterium (5),exm,,
,Exiguobacterium sp. U13-1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Exiguobacterium (5),exu,,
,Gemella sp. oral taxon 928,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Gemella (1),got,,
,Brevibacillus brevis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Brevibacillus (2),bbe,,
,Brevibacillus laterosporus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Brevibacillus (2),blr,,
,Paenibacillus sp. JDR-2,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pjd,,
,Paenibacillus sp. Y412MC10,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),gym,,
,Paenibacillus polymyxa E681,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppy,,
,Paenibacillus polymyxa SC2,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppm,,
,Paenibacillus polymyxa M1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppo,,
,Paenibacillus polymyxa CR1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppol,,
,Paenibacillus polymyxa SQR-21,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppq,,
,Paenibacillus polymyxa Sb3-1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppoy,,
,Paenibacillus mucilaginosus KNP414,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pms,,
,Paenibacillus mucilaginosus 3016,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pmq,,
,Paenibacillus mucilaginosus K02,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pmw,,
,Paenibacillus terrae,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pta,,
,Paenibacillus larvae,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),plv,,
,Paenibacillus sabinae,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),psab,,
,Paenibacillus durus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pdu,,
,Paenibacillus borealis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pbd,,
,Paenibacillus graminis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pgm,,
,Paenibacillus odorifer,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pod,,
,Paenibacillus sp. FSL P4-0081,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paen,,
,Paenibacillus sp. FSL R5-0345,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paef,,
,Paenibacillus sp. FSL R5-0912,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paeq,,
,Paenibacillus stellifer,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pste,,
,Paenibacillus sp. FSL R7-0273,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paea,,
,Paenibacillus sp. FSL R7-0331,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paee,,
,Paenibacillus sp. FSL H7-0357,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paeh,,
,Paenibacillus sp. FSL H7-0737,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),paej,,
,Paenibacillus beijingensis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pbj,,
,Paenibacillus sp. IHBB 10380,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pih,,
,Paenibacillus riograndensis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pri,,
,Paenibacillus peoriae,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),ppeo,,
,Paenibacillus naphthalenovorans,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pnp,,
,Paenibacillus sp. 32O-W,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pow,,
,Paenibacillus bovis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pbv,,
,Paenibacillus xylanexedens,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Paenibacillus (34),pxl,,
,Thermobacillus composti,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Thermobacillus (1),tco,,
,Aneurinibacillus sp. XH2,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Aneurinibacillus (1),anx,,
,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Alicyclobacillus (2),aac,,
,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Alicyclobacillus (2),aad,,
,Kyrpidia tusciae,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Kyrpidia (1),bts,,
,Solibacillus silvestris StLB046,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Solibacillus (2),siv,,
,Solibacillus silvestris DSM 12223,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Solibacillus (2),ssil,,
,Planococcus sp. PAMC 21323,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),pln,,
,Planococcus kocurii,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),pku,,
,Planococcus rifietoensis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),prt,,
,Planococcus sp. L10.15,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),pll,,
,Planococcus antarcticus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),pana,,
,Planococcus donghaensis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),pdg,,
,Planococcus halocryophilus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),phc,,
,Planococcus maritimus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Planococcus (8),pmar,,
,Jeotgalibacillus malaysiensis,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Jeotgalibacillus (1),jeo,,
,Kurthia sp. 11kri321,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Kurthia (1),kur,,
,Sporosarcina psychrophila,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Sporosarcina (2),spsy,,
,Sporosarcina sp. P33,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Sporosarcina (2),spor,,
,Rummeliibacillus stabekisii,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Rummeliibacillus (1),rst,,
,Novibacillus thermophilus,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Novibacillus (1),ntr,,
,Lactococcus lactis subsp. lactis Il1403,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lla,,
,Lactococcus lactis subsp. lactis KF147,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llk,,
,Lactococcus lactis subsp. lactis CV56,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llt,,
,Lactococcus lactis subsp. lactis IO-1,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lls,,
,Lactococcus lactis subsp. lactis KLDS 4.0325,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lld,,
,Lactococcus lactis subsp. lactis NCDO 2118,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llx,,
,Lactococcus lactis subsp. cremoris SK11,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llc,,
,Lactococcus lactis subsp. cremoris MG1363,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llm,,
,Lactococcus lactis subsp. cremoris A76,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llr,,
,Lactococcus lactis subsp. cremoris NZ9000,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lln,,
,Lactococcus lactis subsp. cremoris UC509.9,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lli,,
,Lactococcus lactis subsp. cremoris KW2,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llw,,
,Lactococcus lactis AI06,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),llj,,
,Lactococcus garvieae ATCC 49156,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lgr,,
,Lactococcus garvieae Lg2,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lgv,,
,Lactococcus piscium,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Lactococcus (16),lpk,,
,Streptococcus pyogenes M1 GAS (serotype M1),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spy,,
,Streptococcus pyogenes MGAS5005 (serotype M1),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spz,,
,Streptococcus pyogenes M1 476 (serotype M1),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spym,,
,Streptococcus pyogenes MGAS8232 (serotype M18),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spm,,
,Streptococcus pyogenes MGAS315 (serotype M3),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spg,,
,Streptococcus pyogenes SSI-1 (serotype M3),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),sps,,
,Streptococcus pyogenes MGAS10270 (serotype M2),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),sph,,
,Streptococcus pyogenes MGAS10750 (serotype M4),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spi,,
,Streptococcus pyogenes MGAS2096 (serotype M12),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spj,,
,Streptococcus pyogenes MGAS9429 (serotype M12),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spk,,
,Streptococcus pyogenes Manfredo (serotype M5),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spf,,
,Streptococcus pyogenes MGAS10394 (serotype M6),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spa,,
,Streptococcus pyogenes MGAS6180 (serotype M28),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spb,,
,Streptococcus pyogenes MGAS15252 (serotype M59),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),stg,,
,Streptococcus pyogenes NZ131 (serotype M49),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),soz,,
,Streptococcus pyogenes Alab49 (serotype M53),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),stz,,
,Streptococcus pyogenes MGAS1882,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),stx,,
,Streptococcus pyogenes A20,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spya,,
,Streptococcus pyogenes HSC5,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spyh,,
,Streptococcus pyogenes STAB901 (serotype M44),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spyo,,
,Streptococcus pneumoniae TIGR4 (virulent serotype 4),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spn,,
,Streptococcus pneumoniae D39 (virulent serotype 2),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spd,,
,Streptococcus pneumoniae R6 (avirulent),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spr,,
,Streptococcus pneumoniae CGSP14 (serotype 14),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spw,,
,Streptococcus pneumoniae G54 (serotype 19F),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spx,,
,Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage),Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),sne,,
,Streptococcus pneumoniae Hungary19A 6,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spv,,
,Streptococcus pneumoniae 70585,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snm,,
,Streptococcus pneumoniae JJA,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),sjj,,
,Streptococcus pneumoniae P1031,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spp,,
,Streptococcus pneumoniae Taiwan19F-14,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snt,,
,Streptococcus pneumoniae TCH8431/19A,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snc,,
,Streptococcus pneumoniae 670-6B,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snb,,
,Streptococcus pneumoniae AP200,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snp,,
,Streptococcus pneumoniae INV104,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),sni,,
,Streptococcus pneumoniae INV200,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snv,,
,Streptococcus pneumoniae OXC141,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snx,,
,Streptococcus pneumoniae ST556,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snd,,
,Streptococcus pneumoniae SPNA45,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),snu,,
,Streptococcus pneumoniae gamPNI0373,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spng,,
,Streptococcus pneumoniae SPN034156,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spne,,
,Streptococcus pneumoniae SPN034183,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spnu,,
,Streptococcus pneumoniae SPN994038,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spnm,,
,Streptococcus pneumoniae SPN994039,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spno,,
,Streptococcus pneumoniae A026,Prokaryotes (4421),Bacteria (4172),Firmicutes - Bacilli (648),Streptococcus (139),spnn,,
