#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCA_000155775.1,PRJNA20121,SAMN02436144,ABST00000000.1,na,455436,455436,Glaciecola sp. HTCC2999,strain=HTCC2999,na,latest,Scaffold,Major,Full,2008-07-23,ASM15577v1,J. Craig Venter Institute,GCF_000155775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/775/GCA_000155775.1_ASM15577v1,na,na,na,haploid,bacteria,2560882,2523039,40.500000,0,11,56,na,na,,0,0,0,na
GCA_949498985.1,PRJEB60184,SAMEA112746686,CATECQ000000000.1,na,455436,455436,Glaciecola sp. HTCC2999,na,bin.348 MAG,latest,Contig,Major,Full,2023-04-05,GEN_BGC Atlantic-Pacific 2011 bin.348 MAG,IDAEA-CSIC,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/498/985/GCA_949498985.1_GEN_BGC_Atlantic-Pacific_2011_bin.348_MAG,derived from metagenome,na,na,haploid,bacteria,2071815,2071815,40.500000,0,62,62,IDAEA-CSIC,Annotation submitted by IDAEA-CSIC,2023-03-09,1923,1888,35,na
GCA_000011385.1,PRJNA9606,SAMD00061120,na,reference genome,251221,33072,Gloeobacter violaceus PCC 7421,strain=PCC 7421,na,latest,Complete Genome,Major,Full,2003-10-03,ASM1138v1,Kazusa,GCF_000011385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/385/GCA_000011385.1_ASM1138v1,na,assembly from type material,na,haploid,bacteria,4659019,4659019,62.000000,1,1,1,Kazusa,Annotation submitted by Kazusa,2016-10-07,4355,4348,7,14621292;14621296
GCA_000011685.1,PRJNA13325,SAMN02603293,na,na,290633,442,Gluconobacter oxydans 621H,strain=621H,na,latest,Complete Genome,Major,Full,2005-01-21,ASM1168v1,Gottingen Genomics Laboratory,GCF_000011685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/685/GCA_000011685.1_ASM1168v1,na,na,na,haploid,bacteria,2922384,2922384,61.000000,6,6,6,Gottingen Genomics Laboratory,Annotation submitted by Gottingen Genomics Laboratory,2016-07-26,2731,2664,67,15665824
GCA_900175995.1,PRJEB18739,SAMEA37041418,na,na,290633,442,Gluconobacter oxydans 621H,na,WT-DSMZ,latest,Complete Genome,Major,Full,2017-07-20,ASM90017599v1,RWTH Aachen,GCF_900175995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/175/995/GCA_900175995.1_ASM90017599v1,na,na,na,haploid,bacteria,2924837,2924837,61.000000,6,6,6,na,na,,0,0,0,na
GCA_000014285.2,PRJNA17111,SAMN02603769,na,na,391165,364410,Granulibacter bethesdensis CGDNIH1,strain=CGDNIH1,na,latest,Complete Genome,Major,Full,2017-08-28,ASM1428v2,"Rocky Mountain Laboratories, National Institutes of Allergy and Infectious Disease, The National Institutes of Health",GCF_000014285.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/285/GCA_000014285.2_ASM1428v2,na,assembly from type material,na,haploid,bacteria,2708434,2708434,59.000000,1,1,1,"Rocky Mountain Laboratories, National Institutes of Allergy and Infectious Disease, The National Institutes of Health","Annotation submitted by Rocky Mountain Laboratories, National Institutes of Allergy and Infectious Disease, The National Institutes of Health",2017-08-28,2633,2571,61,17827295
GCA_000576145.2,PRJNA68649,SAMN03081434,na,na,1052095,364410,Granulibacter bethesdensis CGDNIH4,strain=CGDNIH4,na,latest,Complete Genome,Major,Full,2016-12-01,ASM57614v2,Integrated Genomics,GCF_000576145.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/145/GCA_000576145.2_ASM57614v2,na,na,na,haploid,bacteria,2729888,2729888,58.500000,1,1,1,Integrated Genomics,Annotation submitted by Integrated Genomics,2016-12-01,2614,2553,61,na
GCA_000027305.1,PRJNA219,SAMN02603991,na,na,71421,727,Haemophilus influenzae Rd KW20,strain=Rd KW20,na,latest,Complete Genome,Major,Full,1999-12-22,ASM2730v1,TIGR,GCF_000027305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1,many frameshifted proteins,na,na,haploid,bacteria,1830138,1830138,38.000000,1,1,1,TIGR,Annotation submitted by TIGR,2019-12-18,1775,1709,36,7542800;8805245
GCA_000012985.1,PRJNA16064,SAMN02603483,na,reference genome,349521,158327,Hahella chejuensis KCTC 2396,strain=KCTC 2396,na,latest,Complete Genome,Major,Full,2005-12-14,ASM1298v1,Korea Research Institute of Bioscience and Biotechnology (KRIBB),GCF_000012985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/985/GCA_000012985.1_ASM1298v1,na,assembly from type material,na,haploid,bacteria,7215267,7215267,54.000000,1,1,1,Korea Research Institute of Bioscience and Biotechnology (KRIBB),Annotation submitted by Korea Research Institute of Bioscience and Biotechnology (KRIBB),2014-01-31,6863,6778,82,16352867
GCA_000011085.1,PRJNA105,SAMN02603385,na,reference genome,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,na,latest,Complete Genome,Major,Full,2004-11-02,ASM1108v1,Institute for Systems Biology,GCF_000011085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,na,assembly from type material,na,haploid,archaea,4274642,4274642,61.000000,9,9,9,Institute for Systems Biology,Annotation submitted by Institute for Systems Biology,2018-08-29,4301,4240,61,15520287
GCA_005310945.1,PRJNA412908,SAMN11356379,na,na,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,na,latest,Complete Genome,Major,Full,2019-05-14,ASM531094v1,University of Maryland,GCF_005310945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/310/945/GCA_005310945.1_ASM531094v1,na,assembly from type material,na,haploid,archaea,4184924,4184924,61.000000,7,7,7,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019-04-10,4236,4033,61,31270201
GCA_000069025.1,PRJNA106,SAMEA3138275,na,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,na,latest,Complete Genome,Major,Full,2008-02-12,ASM6902v1,Max Planck Institute,GCF_000069025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/025/GCA_000069025.1_ASM6902v1,na,na,na,haploid,archaea,2668776,2668776,65.500000,5,5,5,Max Planck Institute,Annotation submitted by Max Planck Institute,2017-02-02,3050,2704,52,18313895
GCA_000025685.1,PRJNA12524,SAMN02604027,na,reference genome,309800,2246,Haloferax volcanii DS2,strain=DS2,na,latest,Complete Genome,Major,Full,2010-03-23,ASM2568v1,TIGR,GCF_000025685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1,na,assembly from type material,na,haploid,archaea,4012900,4012900,65.500000,5,5,5,TIGR,Annotation submitted by TIGR,2021-06-04,4157,3927,62,20333302
GCA_000337315.1,PRJNA174947,SAMN02471619,AOHU00000000.1,na,309800,2246,Haloferax volcanii DS2,strain=DS2,na,latest,Contig,Major,Full,2013-02-04,ASM33731v1,"University of California, Davis",GCF_000337315.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/315/GCA_000337315.1_ASM33731v1,na,assembly from type material,na,haploid,archaea,3866754,3866754,66.000000,0,119,119,"University of California, Davis","Annotation submitted by University of California, Davis",2013-02-04,3938,3886,52,25393412
GCA_000023965.1,PRJNA27945,SAMN00002610,na,reference genome,485914,57705,Halomicrobium mukohataei DSM 12286,strain=DSM 12286,na,latest,Complete Genome,Major,Full,2009-09-03,ASM2396v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1,na,assembly from type material,na,haploid,archaea,3332349,3332349,65.500000,2,2,2,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2016-07-24,3475,3349,60,21304667
GCA_000009185.1,PRJNA17185,SAMEA3138195,na,reference genome,362976,293091,Haloquadratum walsbyi DSM 16790,strain=DSM 16790 = HBSQ001,na,latest,Complete Genome,Major,Full,2006-06-22,ASM918v1,Max Planck Institute,GCF_000009185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/185/GCA_000009185.1_ASM918v1,na,na,na,haploid,archaea,3179361,3179361,48.000000,2,2,2,Max Planck Institute,Annotation submitted by Max Planck Institute,2017-04-19,3487,2560,56,16820047
GCA_000023945.1,PRJNA29305,SAMN00002611,na,reference genome,519442,146826,Halorhabdus utahensis DSM 12940,strain=DSM 12940,na,latest,Complete Genome,Major,Full,2009-08-27,ASM2394v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/945/GCA_000023945.1_ASM2394v1,na,assembly from type material,na,haploid,archaea,3116795,3116795,63.000000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2013-12-24,3077,2998,50,21304660
GCA_000022205.1,PRJNA412908,SAMN02598407,na,reference genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,na,latest,Complete Genome,Major,Full,2009-02-04,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,na,assembly from type material,na,haploid,archaea,3692576,3692576,64.000000,3,3,3,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2021-03-01,3726,3560,61,23320757;23536799;27617060;29109294;29189043;31463573
GCA_000025325.1,PRJNA30411,SAMN02598471,na,reference genome,543526,62320,Haloterrigena turkmenica DSM 5511,strain=DSM 5511,na,latest,Complete Genome,Major,Full,2010-01-19,ASM2532v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1,na,assembly from type material,na,haploid,archaea,5440782,5440782,64.500000,7,7,7,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2016-07-25,5351,5113,64,21304683
GCA_000009305.1,PRJNA17251,SAMEA3138199,na,reference genome,382638,212,Helicobacter acinonychis str. Sheeba,strain=Sheeba,na,latest,Complete Genome,Major,Full,2006-06-28,ASM930v1,Penn State Univ.,GCF_000009305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/305/GCA_000009305.1_ASM930v1,na,na,na,haploid,bacteria,1557588,1557588,38.000000,2,2,2,Penn State Univ.,Annotation submitted by Penn State Univ.,2016-07-14,1660,1618,42,16789826
GCA_000091985.1,PRJEA40677,SAMEA2272735,na,na,679897,217,Helicobacter mustelae 12198,strain=12198,na,latest,Complete Genome,Major,Full,2010-03-11,ASM9198v1,Wellcome Trust Sanger Institute,GCF_000091985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/985/GCA_000091985.1_ASM9198v1,na,na,na,haploid,bacteria,1578097,1578097,42.500000,1,1,1,Wellcome Trust Sanger Institute,Annotation submitted by Wellcome Trust Sanger Institute,2015-03-01,1436,1400,0,20219135
GCA_000008785.1,PRJNA234,SAMN02602990,na,na,85963,210,Helicobacter pylori J99,strain=J99,na,latest,Complete Genome,Major,Full,2001-01-09,ASM878v1,ASTRA,GCF_000008785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/785/GCA_000008785.1_ASM878v1,na,na,na,haploid,bacteria,1643831,1643831,39.000000,1,1,1,ASTRA,Annotation submitted by ASTRA,2010-12-09,1495,1491,0,9923682
GCA_000982695.1,PRJNA281410,SAMN03487572,na,na,85963,210,Helicobacter pylori J99,strain=J99,na,latest,Complete Genome,Major,Full,2015-04-30,ASM98269v1,Icahn School of Medicine at Mount Sinai,GCF_000982695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/695/GCA_000982695.1_ASM98269v1,na,na,na,haploid,bacteria,1698366,1698366,39.000000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-04-28,1604,1495,43,26074426
GCA_000013025.1,PRJNA15721,SAMN02604041,na,reference genome,228405,81032,Hyphomonas neptunium ATCC 15444,strain=ATCC 15444,na,latest,Complete Genome,Major,Full,2006-09-18,ASM1302v1,TIGR,GCF_000013025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/025/GCA_000013025.1_ASM1302v1,na,assembly from type material,na,haploid,bacteria,3705021,3705021,62.000000,1,1,1,TIGR,Annotation submitted by TIGR,2019-09-06,3568,3505,47,16980487
GCA_000152885.1,PRJNA13408,SAMN02436083,AAMX00000000.1,reference genome,314276,190892,Idiomarina baltica OS145,strain=OS145,na,latest,Scaffold,Major,Full,2006-04-07,ASM15288v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000152885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/885/GCA_000152885.1_ASM15288v1,na,assembly from type material,na,haploid,bacteria,2770272,2722127,47.500000,0,15,70,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2015-03-23,2660,2608,52,na
GCA_000008465.1,PRJNA10790,SAMN02604184,na,reference genome,283942,135577,Idiomarina loihiensis L2TR,strain=L2TR,na,latest,Complete Genome,Major,Full,2004-12-02,ASM846v1,University of Hawaii at Manoa,GCF_000008465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/465/GCA_000008465.1_ASM846v1,na,assembly from type material,na,haploid,bacteria,2839318,2839318,47.000000,1,1,1,University of Hawaii at Manoa,Annotation submitted by University of Hawaii at Manoa,2014-01-31,2691,2612,71,15596722
GCA_000152705.1,PRJNA13546,SAMN00622971,AAMN00000000.1,na,313589,313589,Janibacter sp. HTCC2649,strain=HTCC2649,na,latest,Scaffold,Major,Full,2006-04-07,ASM15270v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000152705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/705/GCA_000152705.1_ASM15270v1,na,na,na,haploid,bacteria,4235068,4228723,68.500000,0,7,14,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2006-04-07,4152,4100,52,21075932
GCA_000013565.1,PRJNA12733,SAMN02598279,na,na,290400,290400,Jannaschia sp. CCS1,strain=CCS1,na,latest,Complete Genome,Major,Full,2006-02-27,ASM1356v1,US DOE Joint Genome Institute,GCF_000013565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/565/GCA_000013565.1_ASM1356v1,na,na,na,haploid,bacteria,4404049,4404049,62.000000,2,2,2,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2016-07-26,4331,4283,47,17526795
GCA_000024065.1,PRJNA20833,SAMN02598439,na,na,471856,43674,Jonesia denitrificans DSM 20603,strain=DSM 20603,na,latest,Complete Genome,Major,Full,2009-08-27,ASM2406v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000024065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/065/GCA_000024065.1_ASM2406v1,na,assembly from type material,na,haploid,bacteria,2749646,2749646,58.500000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2014-01-28,2638,2511,80,21304666
GCA_000016305.1,PRJNA31,SAMN02603941,na,na,272620,573,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,strain=ATCC 700721; MGH 78578,na,latest,Complete Genome,Major,Full,2007-07-05,ASM1630v1,The Klebsiella pneumoniae Genome Sequencing Project,GCF_000016305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/305/GCA_000016305.1_ASM1630v1,na,na,na,haploid,bacteria,5694894,5694894,57.000000,6,6,6,The Klebsiella pneumoniae Genome Sequencing Project,Annotation submitted by The Klebsiella pneumoniae Genome Sequencing Project,2016-07-23,5305,5185,111,11677609
GCA_000010285.1,PRJDA27833,SAMD00060935,na,na,378753,72000,Kocuria rhizophila DC2201,strain=DC2201 (= NBRC 103217),na,latest,Complete Genome,Major,Full,2008-04-17,ASM1028v1,National Institute of Technology and Evaluation,GCF_000010285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/285/GCA_000010285.1_ASM1028v1,na,na,na,haploid,bacteria,2697540,2697540,71.000000,1,1,1,National Institute of Technology and Evaluation,Annotation submitted by National Institute of Technology and Evaluation,2016-10-07,2413,2356,57,18408034
GCA_007677595.1,PRJNA543692,SAMN11792388,VECX00000000.1,na,378753,72000,Kocuria rhizophila DC2201,strain=DE0228,na,latest,Scaffold,Major,Full,2019-07-30,ASM767759v1,BGI,GCF_007677595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/677/595/GCA_007677595.1_ASM767759v1,na,na,na,haploid,bacteria,2869143,2868760,71.000000,0,62,66,na,na,,0,0,0,na
GCA_000023925.1,PRJNA21067,SAMN02598443,na,na,478801,1276,Kytococcus sedentarius DSM 20547,strain=DSM 20547,na,latest,Complete Genome,Major,Full,2009-08-27,ASM2392v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/925/GCA_000023925.1_ASM2392v1,na,assembly from type material,na,haploid,bacteria,2785024,2785024,71.500000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2014-01-28,2694,2554,55,21304632
GCA_000011985.1,PRJNA82,SAMN02603047,na,na,272621,1579,Lactobacillus acidophilus NCFM,strain=NCFM,na,latest,Complete Genome,Major,Full,2007-11-01,ASM1198v1,Cal Poly. San Luis Obispo,GCF_000011985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/985/GCA_000011985.1_ASM1198v1,na,na,na,haploid,bacteria,1993560,1993560,34.500000,1,1,1,Cal Poly. San Luis Obispo,Annotation submitted by Cal Poly. San Luis Obispo,2014-01-30,1936,1862,74,15671160
GCA_000015385.1,PRJNA17811,SAMN02603893,na,na,405566,1587,Lactobacillus helveticus DPC 4571,strain=DPC 4571,na,latest,Complete Genome,Major,Full,2007-11-15,ASM1538v1,"Teagasc, Moorepark Food Research Centre",GCF_000015385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/385/GCA_000015385.1_ASM1538v1,na,na,na,haploid,bacteria,2080931,2080931,37.000000,1,1,1,"Teagasc, Moorepark Food Research Centre","Annotation submitted by Teagasc, Moorepark Food Research Centre",2014-01-31,1838,1610,73,17993529
GCA_000008065.1,PRJNA9638,SAMN02603676,na,na,257314,33959,Lactobacillus johnsonii NCC 533,strain=NCC 533,na,latest,Complete Genome,Major,Full,2004-02-02,ASM806v1,"Nestle Research Center, Switzerland",GCF_000008065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/065/GCA_000008065.1_ASM806v1,na,na,na,haploid,bacteria,1992676,1992676,34.500000,1,1,1,"Nestle Research Center, Switzerland","Annotation submitted by Nestle Research Center, Switzerland",2014-01-31,1918,1821,96,14983040;15006820
GCA_000006865.1,PRJNA72,SAMN02603339,na,na,272623,1358,Lactococcus lactis subsp. lactis Il1403,strain=IL1403,na,latest,Complete Genome,Major,Full,2001-03-21,ASM686v1,INRA,GCF_000006865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/865/GCA_000006865.1_ASM686v1,na,na,na,haploid,bacteria,2365589,2365589,35.500000,1,1,1,INRA,Annotation submitted by INRA,2014-01-30,2309,2266,0,11337471
GCA_000021025.1,PRJNA30817,SAMN02603956,na,na,557598,168471,Laribacter hongkongensis HLHK9,strain=HLHK9,na,latest,Complete Genome,Major,Full,2009-04-14,ASM2102v1,The University of Hong Kong,GCF_000021025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/025/GCA_000021025.1_ASM2102v1,na,na,na,haploid,bacteria,3169329,3169329,62.500000,1,1,1,The University of Hong Kong,Annotation submitted by The University of Hong Kong,2019-09-10,3336,3238,98,19283063
GCA_000152985.1,PRJNA13573,SAMN02436111,AANC00000000.1,reference genome,398720,360293,Leeuwenhoekiella blandensis MED217,strain=MED217,na,latest,Scaffold,Major,Full,2006-04-07,ASM15298v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000152985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/985/GCA_000152985.1_ASM15298v1,na,assembly from type material,na,haploid,bacteria,4244565,4238065,40.000000,0,1,15,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2006-04-07,3781,3735,46,17215843
GCA_000007665.1,PRJNA212,SAMN02603772,na,na,281090,1575,Leifsonia xyli subsp. xyli str. CTCB07,strain=CTCB07,na,latest,Complete Genome,Major,Full,2004-08-04,ASM766v1,Sao Paulo state (Brazil) Consortium,GCF_000007665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/665/GCA_000007665.1_ASM766v1,na,na,na,haploid,bacteria,2584158,2584158,67.500000,1,1,1,Sao Paulo state (Brazil) Consortium,Annotation submitted by Sao Paulo state (Brazil) Consortium,2021-09-16,2376,2030,50,15305603
GCA_000014445.1,PRJNA315,SAMN02598482,na,reference genome,203120,1245,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,strain=ATCC 8293,na,latest,Complete Genome,Major,Full,2006-10-13,ASM1444v1,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",GCF_000014445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/445/GCA_000014445.1_ASM1444v1,na,assembly from type material,na,haploid,bacteria,2075763,2075763,37.500000,2,2,2,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.","Annotation submitted by US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",2016-07-14,2108,2005,84,17030793
GCA_000195795.1,PRJNA86,SAMEA3138320,na,na,272626,1642,Listeria innocua Clip11262,strain=Clip11262,na,latest,Complete Genome,Major,Full,2003-05-06,ASM19579v1,Institut Pasteur,GCF_000195795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/795/GCA_000195795.1_ASM19579v1,na,na,na,haploid,bacteria,3093113,3093113,37.500000,2,2,2,Institut Pasteur,Annotation submitted by Institut Pasteur,2016-07-26,3064,3039,3,11679669
GCA_000582845.1,PRJEB4153,SAMEA3138952,na,na,1334565,1639,Listeria monocytogenes EGD,strain=EGD,na,latest,Complete Genome,Major,Full,2013-09-15,SV_1,IP,GCF_000582845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/582/845/GCA_000582845.1_SV_1,na,na,na,haploid,bacteria,2907193,2907193,38.000000,1,1,1,IP,Annotation submitted by IP,2016-02-26,2933,2848,85,24667708
GCA_000060285.1,PRJNA13443,SAMEA3138260,na,na,386043,1643,Listeria welshimeri serovar 6b str. SLCC5334,strain=SLCC5334,na,latest,Complete Genome,Major,Full,2006-10-27,ASM6028v1,Universitat Giessen,GCF_000060285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/060/285/GCA_000060285.1_ASM6028v1,na,assembly from type material,na,haploid,bacteria,2814130,2814130,36.500000,1,1,1,Universitat Giessen,Annotation submitted by Universitat Giessen,2015-02-28,2864,2774,84,16936040
GCA_000169375.1,PRJNA18955,SAMN02436124,AAXY00000000.1,na,270374,270374,Marinobacter sp. ELB17,strain=ELB17,na,latest,Contig,Major,Full,2007-03-06,ASM16937v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000169375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/375/GCA_000169375.1_ASM16937v1,na,na,na,haploid,bacteria,4894744,4894744,54.500000,0,75,75,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2011-11-21,4904,4850,54,na
GCA_000016605.1,PRJNA17447,SAMN02598389,na,reference genome,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,na,latest,Complete Genome,Major,Full,2007-04-25,ASM1660v1,US DOE Joint Genome Institute,GCF_000016605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,na,assembly from type material,na,haploid,archaea,2191517,2191517,46.000000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2014-01-28,2341,2256,42,18083856
GCA_035610555.1,PRJNA1046088,SAMN38472205,na,na,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,na,latest,Complete Genome,Major,Full,2024-01-12,ASM3561055v1,North Carolina State University,GCF_035610555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/610/555/GCA_035610555.1_ASM3561055v1,na,assembly from type material,na,haploid,archaea,2190631,2190631,46.000000,1,1,1,North Carolina State University,Annotation submitted by North Carolina State University,2023-12-04,2418,2339,51,na
GCA_000024185.1,PRJNA34681,SAMN02603710,na,reference genome,634498,83816,Methanobrevibacter ruminantium M1,strain=M1,na,latest,Complete Genome,Major,Full,2010-02-05,ASM2418v1,Pastoral Greenhouse Gas Research Consortium,GCF_000024185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1,na,assembly from type material,na,haploid,archaea,2937203,2937203,32.500000,1,1,1,Pastoral Greenhouse Gas Research Consortium,Annotation submitted by Pastoral Greenhouse Gas Research Consortium,2015-06-25,2283,2217,61,20126622
GCA_000016525.1,PRJNA18653,SAMN02604313,na,reference genome,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,na,latest,Complete Genome,Major,Full,2007-06-04,ASM1652v1,Washington University Center for Genome Sciences,GCF_000016525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,na,assembly from type material,na,haploid,archaea,1853160,1853160,31.000000,1,1,1,Washington University Center for Genome Sciences,Annotation submitted by Washington University Center for Genome Sciences,2014-01-31,1837,1795,42,17563350
